cpus=16
 search_disk_ind-5779  [015]  4621.029942: funcgraph_entry:      + 18.339 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.032589: funcgraph_entry:      + 17.543 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.035085: funcgraph_entry:      + 16.553 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.037564: funcgraph_entry:      + 16.173 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.040049: funcgraph_entry:      + 15.982 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.042480: funcgraph_entry:      + 14.949 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.044621: funcgraph_entry:      + 17.337 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.047029: funcgraph_entry:      + 14.145 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.049127: funcgraph_entry:      + 13.874 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.051220: funcgraph_entry:      + 13.607 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.053702: funcgraph_entry:      + 14.271 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.055690: funcgraph_entry:      + 14.487 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.057929: funcgraph_entry:      + 13.961 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.060107: funcgraph_entry:      + 13.404 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.062275: funcgraph_entry:      + 14.065 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.064457: funcgraph_entry:      + 13.513 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.066688: funcgraph_entry:      + 13.849 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.068925: funcgraph_entry:      + 14.293 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.071057: funcgraph_entry:      + 14.488 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.073224: funcgraph_entry:      + 14.439 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.075432: funcgraph_entry:      + 15.002 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.077731: funcgraph_entry:      + 14.052 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.080026: funcgraph_entry:      + 15.123 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.082178: funcgraph_entry:      + 14.041 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.084301: funcgraph_entry:      + 13.858 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.086566: funcgraph_entry:      + 13.634 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.088837: funcgraph_entry:      + 14.533 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.091083: funcgraph_entry:      + 14.160 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.093303: funcgraph_entry:      + 13.803 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.095407: funcgraph_entry:      + 13.637 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.097706: funcgraph_entry:      + 13.386 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.099829: funcgraph_entry:      + 13.905 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.102081: funcgraph_entry:      + 13.734 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.104163: funcgraph_entry:      + 14.721 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.106328: funcgraph_entry:      + 14.021 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.108708: funcgraph_entry:      + 13.568 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.110723: funcgraph_entry:      + 13.495 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.112858: funcgraph_entry:      + 13.716 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.115010: funcgraph_entry:      + 13.704 us  |  blk_mq_complete_request();
          <idle>-0     [013]  4621.115372: funcgraph_entry:      + 21.934 us  |  blk_mq_complete_request();
          <idle>-0     [013]  4621.116017: funcgraph_entry:      + 16.141 us  |  blk_mq_complete_request();
          <idle>-0     [013]  4621.116749: funcgraph_entry:      + 20.073 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.117163: funcgraph_entry:      + 13.885 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.119305: funcgraph_entry:      + 13.573 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.121473: funcgraph_entry:      + 13.139 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.123678: funcgraph_entry:      + 13.376 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.125874: funcgraph_entry:      + 13.853 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.128070: funcgraph_entry:      + 13.688 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.130209: funcgraph_entry:      + 13.716 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.132323: funcgraph_entry:      + 13.480 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.134420: funcgraph_entry:      + 13.846 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.136640: funcgraph_entry:      + 23.380 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.138892: funcgraph_entry:      + 10.490 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.140374: funcgraph_entry:        9.774 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.142007: funcgraph_entry:      + 16.875 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.143400: funcgraph_entry:        9.917 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.145031: funcgraph_entry:      + 10.020 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.146433: funcgraph_entry:      + 10.189 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.148034: funcgraph_entry:        9.739 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.149531: funcgraph_entry:        9.801 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.151023: funcgraph_entry:        9.895 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.152440: funcgraph_entry:        9.905 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.154039: funcgraph_entry:      + 10.092 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.155428: funcgraph_entry:      + 10.191 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.157150: funcgraph_entry:        9.832 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.158397: funcgraph_entry:        9.950 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.160033: funcgraph_entry:      + 10.076 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.161463: funcgraph_entry:      + 10.539 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.163048: funcgraph_entry:      + 10.231 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.164450: funcgraph_entry:      + 10.222 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.165990: funcgraph_entry:      + 10.442 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.167455: funcgraph_entry:      + 10.231 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.169042: funcgraph_entry:      + 10.213 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.170467: funcgraph_entry:      + 10.313 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.172005: funcgraph_entry:        9.821 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.173444: funcgraph_entry:      + 10.242 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.175039: funcgraph_entry:      + 10.201 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.176442: funcgraph_entry:      + 10.542 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.178037: funcgraph_entry:        9.702 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.179407: funcgraph_entry:        9.773 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.181035: funcgraph_entry:      + 10.424 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.182447: funcgraph_entry:      + 10.399 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.184039: funcgraph_entry:      + 10.157 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.185446: funcgraph_entry:        9.883 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.186958: funcgraph_entry:        9.935 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.188560: funcgraph_entry:      + 10.475 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.190001: funcgraph_entry:      + 10.202 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.191358: funcgraph_entry:        9.985 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.192868: funcgraph_entry:        9.750 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.194445: funcgraph_entry:        9.994 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.195846: funcgraph_entry:        9.593 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.197228: funcgraph_entry:      + 10.069 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.198849: funcgraph_entry:      + 10.090 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.200215: funcgraph_entry:        9.717 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.201822: funcgraph_entry:      + 10.032 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.203218: funcgraph_entry:      + 10.003 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.204807: funcgraph_entry:        9.819 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.206253: funcgraph_entry:      + 21.622 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.207782: funcgraph_entry:        9.879 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.209309: funcgraph_entry:        9.916 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.210817: funcgraph_entry:        9.798 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.212272: funcgraph_entry:        9.937 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.213774: funcgraph_entry:      + 10.049 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.215285: funcgraph_entry:      + 10.284 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.216783: funcgraph_entry:        9.762 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.218207: funcgraph_entry:        9.689 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.219841: funcgraph_entry:        9.985 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.221229: funcgraph_entry:        9.859 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.222777: funcgraph_entry:      + 10.027 us  |  blk_mq_complete_request();
